NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
slagpasient	vuoiŋŋašgáldnanbuohcci		slágabuohcci	slágapasieanta		aivohalvauspotilas	#vuoigŋašat#ravkin#buohcci	strokepasieanta	strokepasieanta	čuolmmastuhttin	vuoiŋŋašdohppe	
hjernesvulst	vuoiŋŋaššattalmas					aivokasvain	vuoiŋŋašguorti kasvain šattalmas			vuoiŋŋašdávda	vuoiŋŋaššattalmas	
hjernehalvdel	vuoiŋŋašbealli					aivopuolisko	vuoiŋŋašbealli	oaiveskálžžu	bealleguovlu	vuoiŋŋašspiehkastat	vuoiŋŋašbealli	
hjernestamme	vuoiŋŋašriggi					aivorunko	vuoiŋŋašriggi	oaiveskálžu	oaiveskálžu	vuoiŋŋamaččaid šaddu	vuoiŋŋašduogáš	
hjernestamme	vuoiŋŋašriggi					aivorunko		oaiveskálžu	oaiveskálžu	vuoiŋŋamaččaid šaddu	vuoiŋŋašduogáš	vuoiŋŋašriggi
hjernecelle	vuoiŋŋašsealla					aivosolu	vuoiŋŋašsealla	oaiveskálžžu	oaiveskálžžu	vuoiŋŋašsealla	vuoiŋŋasella	
hjernefunksjon	vuoiŋŋašdoaibma					aivotoiminta	vuoiŋŋašdoaibma	oaiveskálžžu doaibma	oaiveskálžžu doaibma	vuoiŋŋamaččaid doaibma	vuoiŋŋašdoaibma	
apopleksi	vuoiŋŋašvarrajohtinhehttehus		apopleksiija			aivoverenkiertohäiriö	Hehttehus – heađuštus	apopleksiija	cerebrovaskulára lihkohisvuohta	apopleksiija	vuoiŋŋaš- ja varrasuotnavihki	
slagrehabilitering	vuoiŋŋašvarrajohtinhehttehusa veajuiduhttin		slágabuohci veajuiduhttin			aivoverenkiertohäiriön kuntoutus AVH-kuntoutus	*aivoverenkiertohäiriön veajuiduhttin 	stroke-rehabiliteren	cerebrovaskulára lihkohisvuođaid rehabiliteren AVH-rehabiliteren	streaŋgaveajuiduhttin	vuoiŋŋaš- ja varrasuotnavigiid veajuiduhttin AVH-kontuvra	
tidsopplevelse	áiggi vásáhus					ajan kokemus	áiggi vásihus	áigevásáhus	áiggi vásáhus	vásáhus áiggis	vásáhus áiggis	
tidsbruk	áigegeavahus					ajankäyttö	áiggeatnin	áigegoddi	áigegoddi	áigegeavaheapmi	áigegeavaheapmi	
tankeprosess	jurddašanproseassa					ajatusprosessi	ájáhusproseassa	jurddašanproseassa	jurddašanproseassa	jurddahanproseassa	jurddahanproseassa	
tankevirksomhet	jurddašandoaibma					ajatustoiminta	ájáhusdoaibma	jurddadoaibma	jurddašeami doaibma	jurddabargu	jurddabargu	
disiplinfag	akademalaš oahppoávnnas		fágasuorgi			tieteenala	tieteenhaara			fágasuorgi	akademalaš oahppu	#akademalaš fága
hælsene	akillessuotna					akillesjänne		Achilles-seahka	Achilles-seahka	heelsegat	akillessjeana	
aktivitetsutfoldelse	doaibma geahččaladdan		aktivitehta geahččaladdan	buđaldeami čađahit	 hávggat	aktiviteetin koetus	aktivitehtaovdanbuktin	aktivitehta čađaheapmi				
aktivitetsmulighet	doaibmanvejolašvuohta		aktivitehtavejolašvuohta			aktiviteettimahdollisuus		aktivitehta ovdáneapmi	doaimma loahpaheapmi	doaibmanvejolašvuohta	aktivitehtamodus	
aktivitetsplan	doaibmaplána					aktiviteettisuunnitelma		doaibmaplána	doaibmaplána	doaibmaplána	aktivitehtaplána	
aktivitetsmønster	doaibmamálle					aktiviteettitapa		doaibmamálle	doaibmavuohki	doaibmanminsttar	aktivitehttavuohki	
aktivitetstiltak	doaibmabidju		aktivtehtabidju			aktiviteettitoimenpide aktiviteettikeino		doaibmabijut	aktivitehta mihtideapmi aktivitehta mihtideapmi	aktivitehtadoaibmabijut	aktivitehtadoaibmabidju aktivitehtadoaibma	
akupunktur	akupunktuvra					akupunktio	akupunktuvra  akupunkšuvdna	akupunktuvdna	akupunktuvra akupunktuvra akupunkšuvdna			
underlivvask	vuolledábiid bassan					alapesu	suorgebassan	Vuoigŋavásáhus	vuolde bassat	vuolledábiid bassan	vuolit gákti	
albumin	albumiidna					albumiini	álbumasan	skearru	albmá	skearru	albuma	
bachelorstudent	bachelorstudeanta					alemman korkeakoulutason opiskelija bacheloropiskelija	vuolibu allaskuvladási studeanta 	bachelorstudeanta	vuolit allaskuvladási studeanta bachelorstudeanta	bachelorstudeanta	vuolit allaskuvladási studeanta bacheloroahppu	
bachelor	Bachelorgráda					alempi korkeakoulututkinto	vuolit allaskuvladutkan	Bachelorgráda	vuolit allaskuvlaoahppu	bachelor	vuolit allaskuvladutkkus	
funksjonsnedsettelse	hedjonan doaibmannáksa					alentunut toimintakyky	*alentunut doaibmagálga	doaibmahehttehus	unniduvvon doaibmakapasitehta	doaimmashehttejupmi	hedjonan doaibmanákca	hedjonit
funksjonssvikt	hedjonan doaibmannáksa		hedjonan birgen			alentunut yleistila 	*alentunut doaibmagálga	doaibmahehttehus	unniduvvon doaibmakapasitehta	doaimmashehttejupmi	hedjonan doaibmanákca	
bunnpunkt	vuolimuš čuokkis		botnečuokkis			alin piste	*alin čuokkis	vuolimus čuokkis	vuolimus čuokkis	vuolit dássi	vuolimus čuokkis	
undervekt	vuolledeaddu					alipaino	ali – vuole	vuolledeaddu	vuolledeaddu	vuollemearkkašupmi	vuollegis deaddu	
underrapportering	vuolleraporteren		vuolledieđiheapmi			aliraportointi		vuolleldieđiheapmi	vuolleldieđiheapmi	beare unnán raportačállin	vuolláibájuheapmi	
alkoholskade	alkoholavahát					alkoholivaurio	alkohola *aiheuttama veaidni	alkohola vahágat	alkohola dagahan vahágat	alkoholavahát	vahát mii lea šaddan alkoholageavaheami dihte	
allergiforbund	allergiijasearvi					allergialiitto	allergiijalihttu	allergiijaovttastus	allergiijaovttastus	allergiijasearvi	allergiijadielkkut	
allergireaksjon	allergiijareakšuvdna 					allergiareaktio yliherkkyysreaktio	allergiijareakšuvdna 	allergiijareakšuvdna	allergiijalaš reakšuvdna badjelmeare dovdduid reakšuvdna	allergiijareakšuvdna	allergiijareakšuvdna, hearkkesvuođa reakšuvdna	
allergikost	allergiijabiebmu					allergiaruoka	allergiijagušta	allergiijaborramuš	allergiijaborramuš	allergiijaguoski biepmu	allergiijaruoktu	
eksponering	eksponeren					altistuminen		almmustuhttin	almmustuhttin	eksponeren	eksponeren	
kolonisering	koloniseren					altistuminen		koloniseren	almmustuhttin	koloniseren	eksponeren	
altruisme	altruisma					altruismi		altruisma	altruisma	buotlágan altruisma	altruisma	
basis	vuođđu			alusta	álggus/vuoláš – onko kyseessä alusta alkaen vai asia jonka päälle voi maata?	perusta	šassi	vuođđu	álgu			
ambivalens	ambivalenssa					ambivalenssi 	kaksijakoisuus	guovtteláganvuohta	guovtteláganvuohta	ambivalens	ambivalenssa 	
amøbe	ameba					ameba		ameba	ameba	amáibba	ameba	
amfetamin	amfetamiidna					amfetamiini		amfetamiidna	amfetamiidna	amfetamiidna	amfetamiidna	
yrkesutøving	ámmáthárjáneapmi		ámmátbargu			ammatin harjoittaminen	ámmáha hárjehit	ámmátlaš geavat	ámmáha hárjeheapmi	bargohárjehallan	ámmátlaš hárjehallan	
yrkesidentitet	ámmátidentitehta					ammatti-identiteetti		ámmátlaš identitehta	ámmátlaš identitehta	fidnoidentitehta	ámmátidentitehta	
yrkesfelt	ámmátsuorgi					ammattiala		fágasuorgi	ámmát	fidnosuorgi	ámmát	
fagartikkel	fágaartihkal		fágalas artihkal	fágaartihkal		ammattialan artikkeli	fágalaš ammatillinen	ámmátlaš artihkal	ámmátlaš artihkal	fágalaš artihkal	lea fágalaš	
fagutøver	fágabargi					ammattialan harjoittaja		hárjeheaddji	ámmátlaš bargi	fágaduojár	ámmátlaš hárjeheaddji	
profesjonsutøver	ámmátlaš bargi					ammattin harjoittaja		ámmátlaš bargi	ámmátlaš bargi	profešuvdnabargár	ámmátlaš hárjeheaddji	
fagutvikling	ámmátsuorggi ovdáneapmi		fágalas ovdáneapmi			ammattialan kehitys		fágalaš ovdáneapmi	fágalaš ovdáneapmi	fágalaš ovdáneapmi	fágalaš ovdáneapmi	
fagprosedyre	fágalaš prosedyra					ammattialan menetelmä; ammattialan toimenpide		fágalaš prosedyra	fágalaš vuohki fágalaš prosedyra	fágavuohki	ámmátmetodanfágalaš doaibmabidju	
profesjonsfag	ámmátoahppu		fágalaš oahput			ammattiopinnot		fágalaš fága	fágalaš oahput	profešuvdnafága	profešuvdnaoahppu	
yrkesrolle	ámmátrolla					ammattirooli		ámmátlaš rolla	ámmátlaš rolla	virgerolla	ámmátrolla	
profesjonsgrad	ámmátdutkkus					ammattitutkinto		fágaoahppu	fágaoahppu	profešuvdnaoahppu	profešuvdnaskuvla	
morgenmedisin	iđitdálkkas					aamulääke		iđit dálkkas	iđit dálkkas	iđitdálkkas	Iđitguovssu dálkkas	
morgenrapport	iđitraporta					aamuraportti		iđitdieđáhus	iđitdieđáhus	iđđedieđáhus	iđđedieđáhus	
anamnese	anamnesa					anamneesi	esitiedot	anamnesa	medisiinnalaš historjá	anamneseansa	ánsu	
anestesisykepleier	anestesiijabuohccedivššár					anestesiasairaanhoitaja	#anestesia#buohccidikšu	buohccidivššár anestesiija	buohccidivššár anestesiija	anestesibuhccedivššár	anestesiijabuhcci	
porsjonsstørrelse	attusmearri					annoskoko		oasi sturrodat	oasi sturrodat	oassesturrodat	sturrodat	
dosering	doseringa					annostelu		doasi	doseanta	dálkkodanriekkis	dálkkas	
antibiotika	antibiohta					antibiootti	#antibiotika	antibiotika	antibiotika	antibiotihkka	antibiotihkka	
antibiotikabruk	antibiohtageavaheapmi					antibioottien käyttö	#antibiotika atnin	antibiotika geavaheapmi	antibiotihkaid geavaheapmi	antibiotihkageavaheapmi	antibiotihkkageavaheapmi	
antibiotikabehandling	antibiohtadikšu					antibioottihoito		antibiohtaid dikšun	antibiohtaid dikšun	antibiotihkadikšun	dikšun antibiotihkain	
hovedpulsåre	váldováibmosuotna; aorta					päävaltimo; aortta		váldoarteriija	aorta	váldo pulsa	aorta 	
ganghjelpemiddel	vázzinveahkeneuvvu					kävelyn apuväline	#veahkki#gaskoapmi vázzimii	vánddardanveahkki	vánddardanveahkki	vázzinbálggis	veahkkeneavvu vázzimii	
hverdagsrehabilitering	árgaveajuiduhttin					arkikuntoutus	árgaveajuiduhttin	árgabeaivválaš rehabiliteren	árgabeaivválaš rehabiliteren	árgabeaiveajuiduhttin	árkabuvttadeapmi	
hverdagskunnskap	árgadiehtu					arkitieto	árgadiehtu	árgabeaivválaš máhttu	árgabeaivválaš máhttu	árgabeaivváláš máhttu	arkiivadiehtu	
sårhet	raššivuohta					arkuus		váibmováttut	váibmoláđisvuohta	rašši	árbmu	
barmhjertighet	árbmu					armo	árbmu	árbmu	árbmu	árbmugasvuohta	árbmu	
arrdanning	savvoneapmi					arpeutuminen		gahččan	gahččan	árrangealkka	árbenráidu	
evalueringskriterium	árvvoštallankritera					arviointikriteeri	evaluerenkriteara	árvvoštallankritera	árvvoštallankritera	árvvoštallaneaktu	árvvoštallanvuođđu	
evalueringsskjema	árvvoštallanskovvi					arviointilomake	evaluerenskovvi	árvvoštallanskovi	árvvoštallanskovi	árvvoštallanskovvi	árvvoštallanskovvi	
vurderingsprosess	árvvoštallanproseassa					arviointiprosessi	evaluerenproseassa	árvvoštallanproseassa	árvvoštallanproseassa	árvvoštallanproseassa	árvvoštallanproseassa	
verdikonflikt	árvoruossalasvuohta		árvokonflikta			arvokonflikti	arvoristiriita	árvoriiddu	árvoriiddu	árvokonflikta	árvokonflikta	árvokonflikta
verdimodell	árvomálle					arvomalli	árvomálle	árvomodealla	árvomodealla	árvomálle	árvomálle	
stillingsendring	stellelmasdikšun					asentohoito	#stellelmas#molsuheapmi	sajádaga rievdadus	sajádaga rievdadus	rievdadeapmi	miellaguottuid molsun	
stillingsforandring	stellelmasmolsun					asennonvaihto	#stellelmas#molsuheapmi	sajádaga rievdadus	sajádaga rievdadus	posišuvdnarievdadus	miellaguottuid molsun	
leiring	seaŋgapatienta	£	seaŋgabuohcci			asettelu	stellelmasdikšu	leaira	čuozáhatterapiija	leairas	miellaguoddoaddin	
acetylsalisylsyre	asetylasalisivra					asetyylisalisyylihappo		asetylsalisylasyra	asetylsalisylasyra	acetylsalicylsyrra	acetylsalicylsyra	
brukerstyring	geavaheaddjistivren					käyttäjälähtöisyys	geavaheaddjihálddašeapmi	áššehasorienteren	geavaheaddjistivren	áššehasgullevašvuohta		
forbrukerundersøkelse	buohcciduhtavašvuohtadutkan		geavaheaddjiduhtavašvuohtadutkan			asiakastyytyväisyystutkimus; potilastyytyväisyystutkimus	kunddardutkan #buohcci#duhtavašvuohtadutkan	geavaheaddjiiskkadeapmi	kundaiskkadeapmi pasieantta duhtavašvuođaiskkadeapmi	geavaheddjiid iskkadeapmi	buohcci duhtavašvuođaiskkadeapmi	
ekspertsammenslutning	áššedovdijoavku					asiantuntijasyhmä		áššedovdisearvi	áššedovdi duššás	áššedovdiid čoahkádus	áššedovdi joavku	
aspirasjon	aspirašuvdna					aspiraatio	keuhkoihin vetäminen	áigumuš	áigumuš	aspiránsa	aspiránta	aspirašuvdna
aspirere  	aspireret					aspiroida	vetää henkeen pois	áigu	aspireret	aspiránttat	aspiriidna	
balje	lihtti					astia	allas	tub	fanas	dušši	láigi	lihtti
astmaanfall	ástmádohppehallan					astmakohtaus	#ástmá#dohppehallat	astmafalleheamit	astmafalleheapmi	astmakanálat	astmakoarta	
bofellesskap	ássansearvvuš					asumisyhteisö	orrot orgána	ovttasássan	viessohuksensearvi	ássansearvevuohta	ássangielda	
måltidsmønster	borramušmálle					ateriamalli		borramušmálle	borramušhárjehallan	boradanminsttar	borranvierru	
atrofi	atrofiija					atrofia		atrofiija	atrofiija	atrofiija	atrofalaš	#atrofia
varmeutmattelse	báhkkaslága; hypertermiija	£	báhkkasiiváiban			lämpöhalvaus; hypertermia		lieggaceahkki	beaivváščuohpadeapmi hypertermiija	liekkasvuođa jávkan	boađus beaivváš-hypertermiijas	
autisme	autisma					autismi		autisma	autisma	autisma	autisma	
autonomiprinsipp	autonomiijaprinsihppa	£				autonomian periaate	autonomiija prinsihppa	autonomiijaprinsihppa	autonomiija prinsihppa	autonomiijaprinsihppa	autonomiija prinsihppa	
hjelpemetode	veahkkevuohki					auttamistoimenpide	veahkehit doaibmabidju	veahkkevuohki	veahkkedoaibmabidju	veahkkeneavvu	veahkkedoaibma	
AV-knute	AV-čuolmmastat					AV-solmuke; eteis-kammiosolkuke		AV-čuokkis	AV-nodda atrioventricular node	AV-noađđi	AV-čohkasteaddji ovdasiidogárddis	
nøkkelrolle	čoavddarolla					avainrooli	čoavddarolla	guovddáš rolla	guovddáš rolla	guovddáš rolla	guovddáš rolla	
utfoldelse	rahpašeapmi, beassan	£				avautuminen; vapautuminen	tapahtuminen	ovdána	rahpan	olggosváldin	rahpan	#rahppot
bakterieinvasjon	bakterainvašuvnna					bakteeri-invaasio		bakteriijaid sisabahkken	bakteriijaid sisabahkken	bakteriijainfekšuvdna	bakteriijainfekšuvdna	
bakterievandring	bakterajohtin					bakteerien kulku	baktearaid johtu	bakteriijaid fárren	bakteriijaid mannan	bakteriija rievdan	bakteriija johtin	
bakterieflora	bakteraflora					bakteerifloora; mikrobiomi		báktešlájat	báktešlájaid mikrobioma	bakteriijaflora	baktearabiohtalaš mikrobioma	
bakteriestamme	bakteramáddodat					bakteerikanta		bakteriijašládja	bakteriijašládja	bakteriijalaš	baktearabora	
bakterieoppvekst	bakterašaddadeapmi					bakteeriviljely		bakteriijaid šaddan	bakteriijaid šaddan	bakteriija mii šaddá	baktearalaš šaddu	
bakterievekst	bakterašaddu					bakteerikasvu		bakteriijaid šaddan	bakteriijaid šaddan	bakteriija mii šaddá	baktearalaš šaddu	
bakterietall	bakteralohku					bakteeriluku		bakteriijaid lohku	bakteriijaid lohku bakteriijaid lohku	bakteriiijalogut	bakteriija mii juhkojuvvo čuovvovaš merrii	
bakterietoksin	bakteramirko					bakteerimyrkky		bakteriijamirkko	bakteriijaid goddin	bakteriijatoksiidna	bakteriijamirkofáhta	
bakterieinnhold	bakteramearri					bakteerimäärä		bakteriijasisdoallu	bakteriijaid lohku	bakteriija mii siskkilda	baktearabora	
bakteriepanel	bakterapanela					bakteeripaneeli		bakteriijapanela	bakteriijapanela	bakteriijapanealla	baktearabaddan	
bakterietype	bakteratiipa					bakteerityyppi		bakteriijašládja	bakteriijašládja	bakteriijašládja	baktearat tiipa	
baktericid	bakterasida	£	bakteragoddi			bakterisidi	bakteereja tappava aine	bakteriijaid goddin	báktegoddi	bakterisiida	bakterisiida	
biokjemi	biokemiija					biokemia		biokemiija	biokemiija	biokemia	biokemia	
biomedisin	biomedisiidna	biodálkkasdieđa				biolääketiede	dieđa,-ht-:g tiede	biomedisiidna	biomedisiidna	biomedisiidna	biomedisiidna	
demensomsorg	demeansadikšu					dementiahoito	#dementiadikšu	demeansadikšu	demeansadikšu	demeansadivššu	demeansadálkkodeapmi	
demenssykdom	demeansabuohcu; muitubuohcu 	£ 	demeansadávda, muitudávda		dementiasairaus	#dementiabuohcu	demeansadávda	demeansadávda	demeansadávda	demeansadávda		
desibel	desibela					desibeli		desibela	desibel	desibála	desibel	
desinfeksjonsmiddel	desinfekšuvdnaávnnas					desinfektioaine	desinfekšuvdnaávnnas	desinfiserenávnnas	desinfiserenávnnas	desinfekšuvdnaávnnas	desinfekšuvdnasátni	
determinant	determinánta					determinantti	determinánta	mearrideaddji	mearrideaddji	mearrideaddji	determinánta	
diabetesdagbok	diabetesbeaivegirji					diabetespäiväkirja	diabetesbeaivegirji	diabetesbeaivegirji	diabetesjournála	diabetesbeaivegirji	diabetes beaivegirji	
diagnosesystem	diagnosavuogádat					diagnoosijärjestelmä	diagnosavuogádat	diagnostihkalaš ortnet	diagnosavuogádat	diagnosavuogádat	diagnostalaš systema	
diagnostisering	diagnostiseren					diagnosointi		diagnosa	diagnosa	diagnostiseren	diagnostihkka	
diagnostikk	diagnostihkka					diagnostiikka		diagnostihkka	diagnostihkka	diagnostihkka	diagnostihkka	
diakonisse	diakona					diakonissa		diakona	diakona	diakoniijaplána		
dialysebehandling	dialysadikšu					dialyysihoito	#dialysadikšu	dialysa dikšun	dialysa dikšun	dialysadikála	dialysadikála	
diffusjon	diffušuvdna			diffušuvdna		diffuusio	diffušuvdna	diffušuvdna	diffušuvdna	diffušuvdna	diffušuvdna	
dl	dl		desilihtter			dl	desilitra	dl	Mr	duođalaš	dl	
p-pille	e-tableahtta					e-pilleri	ehkäisy eastadeapmi,estää eastadit	riegádahttinpillera	e-pill	p-pillar	p-pillar	
e-helse	e-dearvvašvuohta					e-terveys		e-dearvvašvuohta	e-dearvvašvuođabálvalusat	e-dearvvašvuohta	e-dearvvašvuođabálvalusat	
talsperson	ságasteaddji; ovddasteaddji					edustaja  puolesta puhuja	áirras  bealis #hubmi	preassahoavda	ovddasteaddji advokáhtta	ságasteaddji	ovddasteaddji bealálaččas	
antikonsepsjonsmiddel	eastadanvuohki					ehkäisyväline	prevenšuvdnaávnnas	eastadanvuohki	eastadanvuohki	vuostálasvuohtanávnnas	eastadanávnnas	
legemiddelsløyfe		£				ei ole Suomessa	ii leat Suomis	narkotihka	ii leat Suomas	dát	leat Suomas	
EKG-monitor	EKG-monitovra					EKG-monitori		EKG-čuovvu	EKG-čuovvu	EKG-goziheaddji	EKG-monitor	
EKG-undersøkelse	EKG-dutkamuš			EKG-tutkimus		EKG-iskkadeapmi	EKG-iskkadeapmi	EKG-iskkus	EKG-iskkus			
e-konsultasjon	e-konsultašuvdna					eKonsultaatio	etävastaanotto	e-konsultašuvdna	e-gulahallan	e-konsultašuvdna	eKonsultašuvdna	
vekstmedium	šaddadanvuloš					elatusalusta		šaddangaskaoapmi	biebmoávnnas	ovdánanmedium	ealáhusášši	
EPJ-system	EPJ-systema	£	EPJ-vuogádat			elektroninen potilaskertomus  sähköinen potilaskertomus	elektrovnnalaš #buohccimuitalus 	EHR-vuogádat	elektrovnnalaš buohccedieđáhus elektrovnnalaš buohccedieđáhus	EPJ-vuogádat	elektrovnnalaš journála mii lea elektrovnnalaš journála	
somatikk	somatihkka					elintoiminnot	*elimelliset doaimmat	somatihkka	deaŧalaš doaimmat	somatihkka	organismmalaš doaibma	
levekår	eallindilli					elinolosuhteet	orgánaeaktoproblema  	eallindiliid váttisvuohta	eallindiliid váttisvuohta eallindiliid váttisvuohta	birgenlági váttisvuohta	birgenlági váttisvuohta	
organsystem	orgánavuogadat	£	ealavuogadat			elinjärjestelmä	orgánavuogádat	orgánavuogádat	Orgánavuogádat	orgánavuogádat	organiserejuvvon	
livsbetingelse	eallineaktu					elinehto	orgánaeksisteansagorit	eallindilli	eallindilit	eallineaktu	eallineaktu	
livsmønster	eallinmálle	£	eallinvuohki			elämämalli	orgánadáhpi	eallinmálle	eallinvuohki	eallinvuohki	eallinvuohki	
livsvane	eallindáhpi	£				elämäntapa	orgánadáhpi	eallindábit	eallinvuohki	eallinláhki	eallinvuohki	
næringsmiddelhygiene	borramušgálvohygienia		borramušgálvobuhtisvuohta			elintarvikehygienia	borramušgálvobuhtisindoallan	biebmohygiena	biebmohygiena	borramušgálvvuid buhtisvuohta	borramušgálvvuid buhtisvuohta	
organfunksjon	orgánadoaibma					elintoiminto	orgánadoaibma	orgána doaibma	deaŧalaš doaibma	orgánaid doaibma	ealáhusdoaibma	
organskade	orgánavahát					elinvaurio	#orgána#vaháguvvan	orgánavahágat	orgánavahágat	siskkáldas struktuvravahát	vuoiŋŋalaš vahát	
livskraft	eallinfábmu					elinvoima	eallinvuoibmi	eallinfápmu	fámu	eallinfámolaš	eallinfámolaš	
leveår	eallinjahki					elinvuosi	orgánajahki elinikä	jagi eallin	eallinjahki	eallinahki	eallinjahki	
livsverden	eallinmáilbmi					elämismaailma	eallit máilbmi	eallima máilbmi	ealli máilbmi	eallinmáilmmi	eallinmáilmmi	
livsutfordring	eallinhástalus					elämän haaste	eallit hástalus	eallinhástalus	eallima hástalus	eallinhástalus	eallima hástalus	
livsytring	eallinmearkka; eallinalbmanus	£				elämän merkki; elämän ilmentymä	eallit #albmanus	eallima ovdanbuktin	eallima čájeheapmi	eallinbirgejeaddji	eallima albmoneapmi	
livsmulighet	eallinvejolašvuohta					elinmahdollisuus	eallit liiba	eallinvejolašvuohta	eallima vejolašvuohta	eallinvejolašvuohta	eallima vejolašvuohta	
livshendelse	eallindáhpáhus					elämän tapahtuma	eallit dáhpáhus	eallindáhpáhus	eallindáhpáhus	eallindáhpáhus	eallima dáhpáhus	
livsfilosofi	eallinfilosofiija					elämänfilosofia	eallinfilosofiija	eallima filosofiija	eallima filosofiija	eallinfilosofiija	eallinfilosofiija	
livsmot	eallinmokta					elämän into	#eallihállu	roahkkatvuohta eallit	eallima hállu	ealaskas	eallinbargu	
livsvilje	eallinhállu					elämänhalu	#eallihállu	dáhttu eallit	eallima hállu	eallin dáhttu	eallinbargu	
livsglede	eallinillu					elämänilo	#ealliillu	eallima illu	eallima illu	eallinmokta	eallinmokta	
livserfaring	eallinvásáhus					elämänkokemus	#eallivásihus	eallinvásáhus	eallinvásáhus	eallinvásáhus	eallimavásáhus	
livkvalitetsbegrep	eallinkvaliteahta doaba 		eallindásidoaba			elämänlaadun käsite	#eallidásu doaba	eallinkvalitehta konseapta	eallinkvalitehta doahpagat	eallinkvaliteahta doaba	eallinkvalitehta doaba	
livskvalitetsproblem	eallinkvaliteahtačuolbma		eallindássičuolbma			elämänlaatuongelma	#ealli#dássuproblema	eallinkvalitehta váttisvuohta	eallinkvalitehta váttisvuohta	eallinkvalitehtačuolbma	eallinkvalitehtačuolbma	
