NOB ORIGINAL	SME_Finland	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU
dyp venetrombose (DVT)	Phrase				syvä laskimotukos SLT   syvä laskimotromboosi		čiekŋalis varrasuonaid trombosa (DVT)	čiekŋalis varračoarvvi trombosa SLT čiekŋalis varračoarvvi trombosa		
ECOG funksjonsstatus, The Everyday Cognition Performance Status Scale	Phrase				ECOG-toimintakykyluokitus		ECOG funktionála stáhtus, árgabeaivválaš kognišuvnna ovdáneami stáhtusskála	ECOG doaibmaárvvoštallan		
Edmonton Symptom Assessment System	Phrase				ESAS-oirekysely 		Edmonton dávdamearkkaid árvvoštallanvuogádat	ESAS dávdamearkkaid jearahallan		
eksistensiell behov	Phrase				eksistentiaalinen tarve		eksistensiála dárbu	eksistensiála dárbu		
eksistensiell omsorg	Phrase				eksistentiaalinen hoiva		eksistensiála fuolahus	eksistensiála fuolahus		
ekstern fiksasjon	Phrase				ulkoinen kiinnitys		olggobeale čatnan	olggobeale čatnon		
ekstraartikulær	A				ekstra-artikulaarinen		olggobeale artikulára	olggobeale artikulára		
ekstrakorporal	A				kehon ulkoinen		olggobeale rupmaša	olggobealde rupmaša		
ekstravasal infusjon	Phrase				suonenulkoinen		olggobeale infušuvdna	ekstravaskulára		
ektopisk graviditet	Phrase				kohdunulkoinen raskaus		ektopalaš áhpehisvuohta	ektopalaš áhpehisvuohta		
emosjonsfokusert	A				tunteisiin keskittyvä		dovdduide vuođđuduvvon	emošuvdnafokuserejuvvon		
epiduralt hematom	Phrase				epiduraalihematooma verenpurkauma epiduraalitilassa		epidurala hematoma	epidurala hematoma varra čuožžileapmi epidurala sajis		
fokale anfall	Phrase				paikallisalkuinen kohtaus		fokála falleheamit	báikkálaččat álgán falleheapmi		
gardnerella vaginalis	Phrase				bakteerivaginoosi BV		gardnerella vaginalis	bakteriijalaš vaginosa BV		
genital descens	Phrase				gynekologinen laskeuma		sohkabeallečuožžileapmi	gynekologalaš deposišuvdna		
glaukom (grønn stær)	Phrase				viherkaihi  silmänpainetauti    glaukooma		glaukoma (glaukoma)	glaukoma čalmmiid čáhci glaukoma		
global afasi	Phrase				globaali afasia		globála afasiija	globála afasiija		
glomerulær filtrasjonshastighet	Phrase				glomerulussuodosnopeus GFR		glomerulára filtrerenmearri	glomerulára filtrerenmearri GFR		
glutenfri kost	Phrase				gluteeniton ruoka		glutenkeahtes biebmu	glutenkeahtes biebmu		
grå stær	Phrase				harmaakaihi katarakta		čalbmeváttut	ruškes katarakta katarakta		
gynekologisk undersøkelse (GU)	Phrase				gynekologinen tutkimus		gynekologalaš iskkadeapmi (GU)	gynekologalaš iskkadeapmi		
haemorrhagia cerebri	Phrase				aivoverenvuoto		hemorrhagia cerebri	oaiveskálžžu		
Heimlichs manøver	Phrase				Heimlichin ote  		Heimlich-manovrra	Heimlich-manovrra		
Helicobacter pylori	Phrase				helokobakteeri		Helicobacter pylori	Helicobacter pylori		
herpes genitalis	Phrase				sukupuoliherpes genitaaliherpes		sohkabealherpes	sohkabealherpes sohkabealherpes		
histologisk undersøkelse	Phrase				(kudos)näytteen histologinen tutkimus		histologalaš iskkadeapmi	histologalaš iskkadeapmi (čuvgehusa) ovdamearkkas		
humant papillomavirus-infeksjon (HPV)	Phrase				papillomavirus HPV		olbmo papillomavirus (HPV) njoammun	papilloma virus HPV		
hyperton dehydrering	Phrase				hypertoninen kuivuma hypertoninen dehydraatio		hypertonalaš dehydrerejupmi	hypertonalaš dehydreren hypertonalaš dehydreren		
immunmodulerende	N				immuunivastetta moduloiva		immunomodulerejeaddji	immunvástádusa modulerejeaddji		
immunsupprimerende	N				immunospupressiivinen		immunosuppressiiva	immunosuppressiiva		
intraokulær	A				silmänsisäinen  intraokulaarinen    silmän sisäosaa koskeva		intraokulára	intraokulára intraokulára mii guoská čalmmi siskkáldas oassái		
intravesikal instillasjonsbehandling	Phrase				virtsarakon sisäinen infuusiohoito  intravesikaalinen instillaatiohoito		intravesihkalaš instillašuvdnaterapiija	intravesihkalaš infušuvdnaterapiija intravesihkalaš instillašuvdnaterapiija		
isometrisk øvelse	Phrase				isometrinen harjoitus		isometriijalaš hárjehus	isometriijalaš hárjehus		
isoton dehydrering	Phrase				isotoninen kuivuma   isotoninen dehydraatio		isotonalaš dehydrerejupmi	isotonalaš dehydrerejupmi isotonalaš dehydrerejupmi		
juvenil artritt	Phrase				lastenreumaStillin tauti		nuorra artrihta	mánnávuođa revmatisma Still dávda		
kontinent ileostomi	Phrase				pysyvä ohutsuoliavanne		kontineantta ileostomiija	bissovaš smávvasuoli obstrukšuvdna		
kroppslig viten	Phrase				kehollinen tieto		rumašlaš máhttu	rumašlaš máhttu		
medisinsk abort	Phrase				lääkkeellinen abortti		medisiinnalaš aborta	medisiinnalaš aborta		
myasten krise	Phrase				hengityslihasten äkillinen raju heikkeneminen		myastenalaš kriisa	fáhkka, garrasit vuoiŋŋašlihkadusaid hedjoneapmi		
myasthenia gravis	Phrase				myastenia		myasthenia gravis	myasthenia		
myoma uteri	Phrase				kohdun lihaskyhmy   myooma		myoma uteri	áhpehisvuođa myoma		
nasoenteral sonde	Phrase				nenäohutsuoliletku		nasoenterála čuovga	nasogastrihkalaš čuovga		
nasogastrisk sonde	Phrase				nenämahaletku		nasogastrihkalaš čuovga	nasogastrihkalaš čuovga		
nedsatt bevissthet	Phrase				tajunnan alenema		hedjonan diđolašvuohta	dovdomearkkaid jávkan		
neutropen feber	Phrase				kuumeinen neutropenia		nevtropenalaš feber	febrila neutropenia		
nevropatisk smerte	Phrase				neuropaattinen kipu		nevropatiijalaš váibmu	nevropatiijalaš váibmu		
nyreerstattende behandling	Phrase				munuaisten toiminnan korvaava hoito		njuoratmánná sadjásašterapiija	sadjásaš terapiija nieidadoaimma várás		
palliativ fase	Phrase				palliatiivisen hoidon vaihe		palliatiiva fáddá	palliatiiva dikšuma fáddá		
paralytisk ileus	Phrase				suolilama   paralyyttinen ileus		lámis ileus	lámis ileus		
parastomalt brokk	Phrase				parastomaalinen tyrä		parastomalaš hernia	parastomalaš hernia		
Parkinsons sykdom	Phrase				Parkinsonin tauti					
perforert magesår	Phrase				puhjennut umpilisäke					
polycystisk ovariesyndrom (PCOS)	Phrase				munasarjonen monirakkulaoireyhtymä PCOS					
postoperativ sykepleie	Phrase				välittömästi toimenpiteen jälkeen annettava sairaanhoito					
postrenal akutt nyreskade	Phrase				virtsateiden ongelmaan liittyvä akuutti munuaisten vajaatoiminta					
premenstruell spenning (PMS)	Phrase				premenstruaalioireyhtymä PMS					
preoperativ sykepleie	Phrase				leikkausta edeltävä hoitotyö/sairaanhoito					
prerenal akutt nyreskade	Phrase				heikentyneeseen verenkiertoon liittyvä akuutti munuaisten vajaatoiminta					
provosert abort	Phrase				provosoitu raskauden keskeytys  provosoitu abortti  					
referred pain	Phrase				heijastekipu					
renal beinsykdom	Phrase				munuaispotilaan luustosairaus					
rigiditet	N				kankeus jäykkyys					
Sengstaken-Blakemores sonde	Phrase				Sengstaken-Blakemoren putki					
sensorisk afasi	Phrase				sensorinen afasia					
Sjögrens syndrom	Phrase				Sjögrenin syndrooma					
skjev hornhinne	Phrase				hajataitteisuus astigmatismi    astimatia					
spinalt sjokk	Phrase				spinaalishokki					
status epilepticus	Phrase				pitkittynyt epileptinen kohtaus					
subkonjunktival blødning	Phrase				sidekalvon alainen verenvuoto   sugillaatio					
target terapi	Phrase				täsmälääkehoito					
temporalisarteritt (AT)	Phrase				ohimovaltimotulehdus    temporaaliarteriitti					
total parenteral ernæring (TPN)	Phrase				täydellinen ruuansulatuskanavan ulkopuolelle eli suoraan laskimoon annosteltava ravitsemus					
traumatisk aksonal skade (TAI)	Phrase				traumaattinen aksonivaurio (TAI)					
trykkindeks (ankel-arm-indeks)	Phrase				nilkka-olkavarsipainesuhde					
trykkmåling av cerebrospinalvæske	Phrase				paineen mittaus aivo-selkäydinnesteestä					
venøse leggsår	Phrase				laskimoperäinen säärihaava					
visus   synsstyrke	Phrase				näöntarkkuus					
åndelig omsorg	Phrase				henkinen/hengellinen hoito/tuki					
