NOB ORIGINAL	POS	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU
polycystisk ovariesyndrom; PCOS	Phrase	munasarjonen monirakkulaoireyhtymä; PCOS		polycystic ovary syndrome (PCOS)			
postoperativ sykepleie	Phrase	välittömästi toimenpiteen jälkeen annettava sairaanhoito		postoperatiiva dikšun			
postrenal akutt nyreskade	Phrase	virtsateiden ongelmaan liittyvä akuutti munuaisten vajaatoiminta		postrenala akuhta nieidaváttut			
premenstruell spenning; PMS	Phrase	premenstruaalioireyhtymä; PMS		ovdal mánnui (PMS)			
preoperativ sykepleie	Phrase	leikkausta edeltävä hoitotyö tai sairaanhoito		ovdaoperatiiva dikšun			
prerenal akutt nyreskade	Phrase	heikentyneeseen verenkiertoon liittyvä akuutti munuaisten vajaatoiminta		ovdal njuoratmánná akuhta nieidaváttut			
provosert abort	Phrase	provosoitu raskauden keskeytys; provosoitu abortti  		dagahan abortta			
referred pain	Phrase	heijastekipu		čujuhuvvon váibmu			
renal beinsykdom	Phrase	munuaispotilaan luustosairaus		njuoratmánnádávda			
rigiditet	N	kankeus; jäykkyys		čavgavuohta			
Sengstaken-Blakemores sonde	Phrase	Sengstaken-Blakemoren putki		Sengstaken-Blakemore-iskkadeapmi			
sensorisk afasi	Phrase	sensorinen afasia		áddejupmi			
Sjögrens syndrom	Phrase	Sjögrenin syndrooma		Sjögrena syndroma			
skjev hornhinne	Phrase	hajataitteisuus; astigmatismi; astigmatia		rievdan čalbmečoarvi			
spinalt sjokk	Phrase	spinaalishokki		njuoratmánnášohkka			
status epilepticus	Phrase	pitkittynyt epileptinen kohtaus		epileptihkalaš dilli			
subkonjunktival blødning	Phrase	sidekalvon alainen verenvuoto; sugillaatio		subkonjunktiiva buozalmasvuohta			
target terapi	Phrase	täsmälääkehoito		ulbmilterapiija			
temporalisarteritt; AT	Phrase	ohimovaltimotulehdus; temporaaliarteriitti		gaskaboddosaš varrasuotna (AT)			
total parenteral ernæring; TPN	Phrase	täydellinen ruuansulatuskanavan ulkopuolelle eli suoraan laskimoon annosteltava ravitsemus		ollislaš parenterála biebmu (TPN)			
traumatisk aksonal skade; TAI	Phrase	traumaattinen aksonivaurio; TAI		traumáhtalaš aksonvahágat (TAI)			
trykkindeks; ankel-arm-indeks	Phrase	nilkka-olkavarsipainesuhde		čuohpadanindeaksa (njuorat-njuoratmánnáindeaksa)			
trykkmåling av cerebrospinalvæske	Phrase	paineen mittaus aivo-selkäydinnesteestä		cerebrospinála čáhcedási mihtideapmi			
venøse leggsår	Phrase	laskimoperäinen säärihaava		venála julggiid čalbmebuohcuvuođat			
visus; synsstyrke	Phrase	näöntarkkuus		oaidninnávccat			
åndelig omsorg	Phrase	henkinen tai hengellinen hoito ja tuki		vuoiŋŋalaš fuolahus			
